frame.time_epoch	ip.src	ip.dst	ip.len	tcp.dstport	tcp.srcport	udp.dstport	udp.srcport	frame.protocols
1429224215.029011000	10.3.40.145	10.3.40.217	40	2869	60309			eth:ip:tcp
1429224215.029195000	10.3.40.145	10.3.40.122	294	2869	60307			eth:ip:tcp:http
1429224215.029550000	10.3.40.217	10.3.40.145	264	60311	2869			eth:ip:tcp:http
1429224215.029552000	10.3.40.217	10.3.40.145	1500	60311	2869			eth:ip:tcp
1429224215.029672000	10.3.40.145	10.3.40.217	40	2869	60311			eth:ip:tcp
1429224215.033357000	10.3.40.217	10.3.40.145	1500	60309	2869			eth:ip:tcp
1429224215.034777000	10.3.40.217	10.3.40.145	1337	60309	2869			eth:ip:tcp
1429224215.034780000	10.3.40.217	10.3.40.145	1500	60309	2869			eth:ip:tcp:http:xml
1429224215.034785000	10.3.40.28	10.3.40.145	40	60308	2869			eth:ip:tcp
1429224215.034786000	10.3.40.217	10.3.40.145	1500	60311	2869			eth:ip:tcp
1429224215.034788000	10.3.40.217	10.3.40.145	1335	60311	2869			eth:ip:tcp
1429224215.034789000	10.3.40.217	10.3.40.145	1500	60311	2869			eth:ip:tcp:http:xml
1429224215.034892000	10.3.40.145	10.3.40.217	52	2869	60309			eth:ip:tcp
1429224215.035198000	10.3.40.145	10.3.40.217	40	2869	60309			eth:ip:tcp
1429224215.035491000	10.3.40.145	10.3.40.217	52	2869	60311			eth:ip:tcp
1429224215.035727000	10.3.40.145	10.3.40.217	40	2869	60311			eth:ip:tcp
1429224215.035781000	10.3.40.145	10.3.40.217	40	2869	60309			eth:ip:tcp
1429224215.036056000	10.3.40.122	10.3.40.145	264	60307	2869			eth:ip:tcp:http
1429224215.036058000	10.3.40.209	10.3.40.145	261	60310	2869			eth:ip:tcp:http
1429224215.036475000	10.3.40.145	10.3.40.217	40	2869	60311			eth:ip:tcp
1429224215.038300000	10.3.40.209	10.3.40.145	1500	60310	2869			eth:ip:tcp
1429224215.038303000	10.3.40.209	10.3.40.145	1276	60310	2869			eth:ip:tcp
1429224215.038305000	10.3.40.209	10.3.40.145	1500	60310	2869			eth:ip:tcp:http:xml
1429224215.038430000	10.3.40.145	10.3.40.209	52	2869	60310			eth:ip:tcp
1429224215.038720000	10.3.40.145	10.3.40.209	40	2869	60310			eth:ip:tcp
1429224215.039010000	10.3.40.122	10.3.40.145	1500	60307	2869			eth:ip:tcp
1429224215.039095000	10.3.40.145	10.3.40.122	40	2869	60307			eth:ip:tcp
1429224215.043830000	10.3.40.122	10.3.40.145	1500	60307	2869			eth:ip:tcp
1429224215.044175000	10.3.40.217	10.3.40.145	40	60309	2869			eth:ip:tcp
1429224215.044278000	10.3.40.145	10.3.40.217	40	2869	60309			eth:ip:tcp
1429224215.044609000	10.3.40.217	10.3.40.145	40	60311	2869			eth:ip:tcp
1429224215.044611000	10.3.40.217	10.3.40.145	40	60309	2869			eth:ip:tcp
1429224215.044612000	10.3.40.217	10.3.40.145	40	60311	2869			eth:ip:tcp
1429224215.048858000	10.3.40.122	10.3.40.145	1339	60307	2869			eth:ip:tcp
1429224215.048960000	10.3.40.145	10.3.40.122	52	2869	60307			eth:ip:tcp
1429224215.049604000	10.3.40.145	10.3.40.209	40	2869	60310			eth:ip:tcp
1429224215.049713000	10.3.40.122	10.3.40.145	1500	60307	2869			eth:ip:tcp:http:xml
1429224215.049815000	10.3.40.145	10.3.40.122	40	2869	60307			eth:ip:tcp
1429224215.053145000	10.3.40.209	10.3.40.145	40	60310	2869			eth:ip:tcp
1429224215.053671000	10.3.40.122	10.3.40.145	40	60307	2869			eth:ip:tcp
1429224215.053769000	10.3.40.145	10.3.40.122	40	2869	60307			eth:ip:tcp
1429224215.056518000	10.3.40.145	10.3.40.122	40	2869	60307			eth:ip:tcp
1429224215.059437000	10.3.40.122	10.3.40.145	40	60307	2869			eth:ip:tcp
1429224215.254628000	10.3.40.121	10.3.40.145	52	60312	2869			eth:ip:tcp
1429224215.254815000	10.3.40.145	10.3.40.121	40	2869	60312			eth:ip:tcp
1429224215.255006000	10.3.40.145	10.3.40.121	294	2869	60312			eth:ip:tcp:http
1429224215.255035000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224215.347886000	10.3.40.217	10.3.40.145	40	60311	2869			eth:ip:tcp
1429224215.347976000	10.3.40.145	10.3.40.217	40	2869	60311			eth:ip:tcp
1429224215.776858000	10.3.40.121	10.3.40.145	264	60312	2869			eth:ip:tcp:http
1429224215.777342000	10.3.40.121	10.3.40.145	1500	60312	2869			eth:ip:tcp
1429224215.777452000	10.3.40.145	10.3.40.121	40	2869	60312			eth:ip:tcp
