Inter Packet Delay,Inter Packet Delay,Actual Frequency[%],Normal Frequency[%],z,,
0.000023,0.000527,0.7751004016,0.4502153145,-0.1251173738,,
0.012978,0.000549,0.7791164659,0.4502483195,-0.125033993,,
0.005847,0.000553,0.7831325301,0.4502543204,-0.1250188329,,
0.000038,0.000561,0.7871485944,0.4502663223,-0.1249885126,,
0.039463,0.000596,0.7911646586,0.4503188312,-0.1248558613,,
0.005945,0.000757,0.7951807229,0.4505603832,-0.1242456656,,
0.000046,0.000857,0.7991967871,0.4507104247,-0.123866662,,
0.083975,0.000972,0.8032128514,0.4508829812,-0.1234308079,,
0.000081,0.001008,0.8072289157,0.4509370008,-0.1232943666,,
0.014106,0.001069,0.8112449799,0.451028536,-0.1230631745,,
0.000024,0.001106,0.8152610442,0.4510840587,-0.1229229431,,
0.000004,0.001146,0.8192771084,0.4511440843,-0.1227713417,,
0.000006,0.001397,0.8232931727,0.4515207702,-0.1218200428,,
0.00011,0.001422,0.8273092369,0.4515582911,-0.1217252919,,
0.013764,0.002017,0.8313253012,0.4524514158,-0.1194702206,,
0.002308,0.002308,0.8353413655,0.4528883092,-0.1183673202,,
0.000015,0.003955,0.8393574297,0.4553620955,-0.1121251315,,
0.40631,0.004085,0.843373494,0.4555574299,-0.1116324268,,
0.000068,0.00547,0.8473895582,0.4576391501,-0.1063832274,,
0.000069,0.005567,0.8514056225,0.4577849899,-0.1060155939,,
0.000195,0.005847,0.8554216867,0.4582060025,-0.1049543839,,
0.00004,0.005945,0.859437751,0.4583533681,-0.1045829604,,
0.000012,0.005947,0.8634538153,0.4583563756,-0.1045753804,,
0.000015,0.006459,0.8674698795,0.4591263786,-0.1026348821,,
0.000009,0.006676,0.8714859438,0.4594527739,-0.1018124443,,
0.000014,0.006717,0.875502008,0.4595144462,-0.1016570529,,
0.000059,0.007269,0.8795180723,0.4603448594,-0.0995649532,,
0.000136,0.007335,0.8835341365,0.4604441596,-0.0993148108,,
0.000115,0.007359,0.8875502008,0.4604802694,-0.09922385,,
0.000055,0.007365,0.8915662651,0.4604892969,-0.0992011097,,
0.000158,0.007444,0.8955823293,0.4606081608,-0.0989016969,,
0.000115,0.007606,0.8995983936,0.460851918,-0.0982877111,,
0.001397,0.007665,0.9036144578,0.4609406974,-0.098064099,,
0.000074,0.007755,0.9076305221,0.4610761275,-0.0977229958,,
0.000054,0.007774,0.9116465863,0.4611047188,-0.0976509851,,
0.000163,0.009201,0.9156626506,0.4632526445,-0.0922426042,,
0.000035,0.012781,0.9196787149,0.4686458532,-0.0786742764,,
0.000011,0.012978,0.9236947791,0.4689428066,-0.0779276394,,
0.00002,0.013764,0.9277108434,0.4701277756,-0.0749486714,,
0.000011,0.014106,0.9317269076,0.4706434561,-0.0736524792,,
0.000013,0.017709,0.9357429719,0.4760790198,-0.0599969806,,
0.000182,0.020758,0.9397590361,0.4806823277,-0.0484411617,,
0.000016,0.021526,0.9437751004,0.4818422665,-0.0455304143,,
0.000111,0.02727,0.9477911647,0.490521844,-0.0237604493,,
0.000015,0.029172,0.9518072289,0.4933970881,-0.0165518014,,
0.000108,0.032479,0.9558232932,0.498396993,-0.0040181534,,
0.000012,0.039463,0.9598393574,0.5089560826,0.0224514559,,
0.000112,0.074447,0.9638554217,0.5616059222,0.1550420645,,
0.000011,0.074709,0.9678714859,0.5619973047,0.1560350539,,
0.000111,0.083975,0.9718875502,0.5757973429,0.1911535246,,
0.000013,0.187553,0.9759036145,0.7202949192,0.5837178414,,
0.00011,0.259484,0.9799196787,0.8040948245,0.8563388987,,
0.000013,0.334598,0.983935743,0.8730699572,1.1410236397,,
0.00011,0.40631,0.9879518072,0.9211448895,1.4128146792,,
0.000013,1.047174,0.9919678715,0.9999389105,3.8417121125,,
0.000112,2.02027,0.9959839357,1,7.5297806837,,
0.000012,3.458636,1,1,12.9812391611,,
